setor_coluna,demanda_final_Rmi,emissao_total_tCO2e,emissao_direta_tCO2e,emissao_indireta_tCO2e,pct_indireta
01,268379,38079304.34259454,10268441.482652208,27810862.859942332,73.03406230778698
02,112212,26348155.09691405,11813331.00729452,14534824.089619529,55.16448508883218
03,2474989,569133048.7566081,156531198.37846228,412601850.3781458,72.49655441369326
04,126864,47081694.92762077,25608614.869009845,21473080.058610924,45.60812878895234
05,567216,56488751.48498666,0.0,56488751.48498666,100.0
06,48278,3373004.1054405067,82185.499263814,3290818.6061766925,97.56343316833642
07,153404,82158183.21977584,60946094.74816019,21212088.47161565,25.818594862148565
08,210550,9268484.343331972,0.0,9268484.343331972,100.0
09,300944,8355321.222137395,0.0,8355321.222137395,100.0
10,498629,3473281.3038958977,0.0,3473281.3038958977,100.0
11,940742,55781137.20972927,0.0,55781137.20972927,100.0
12,1136194,38275853.19170337,853827.407134037,37422025.78456934,97.76927922975965
