setor,participacao_emissao_2015_%,participacao_emissao_2023_%,variacao_participacao_p.p.,ranking_encadeamento_2015,ranking_encadeamento_2023,variacao_ranking_encadeamento,ranking_mult_emissao_2015,ranking_mult_emissao_2023,variacao_ranking_mult_emissao,setor_chave_2015,setor_chave_2023,permanece_setor_chave
Agropecuária,3.74,4.72,0.99,6,5,1,5,5,0,False,False,False
Indústrias extrativas,5.6,5.95,0.36,5,6,-1,3,3,0,False,False,False
Indústrias de transformação,35.82,36.13,0.31,1,1,0,4,2,2,True,True,True
"Eletricidade e gás, água, esgoto, gestão de resíduos",13.32,4.31,-9.02,2,4,-2,2,4,-2,False,False,False
Construção,0.0,0.0,0.0,3,2,1,6,6,0,False,False,False
Comércio,0.38,0.54,0.16,9,9,0,7,7,0,False,False,False
"Transporte, armazenagem e correio",40.96,48.15,7.2,4,3,1,1,1,0,False,False,False
Informação e comunicação,0.0,0.0,0.0,7,7,0,9,9,0,False,False,False
"Atividades financeiras, seguros e serviços relacionados",0.0,0.0,0.0,10,11,-1,11,11,0,False,False,False
Atividades imobiliárias,0.0,0.0,0.0,12,12,0,12,12,0,False,False,False
Outras atividades de serviços,0.0,0.0,0.0,8,8,0,8,8,0,False,False,False
"Administração, defesa, saúde e educação públicas",0.19,0.19,0.0,11,10,1,10,10,0,False,False,False
