,efeito_intensidade_emissao,efeito_estrutura_produtiva,efeito_demanda_final
Agropecuária,-34433707.4102993,2317839.8226684956,32336553.34705974
Indústrias extrativas,-74122069.77236266,2091129.4723375696,52697633.861001864
Indústrias de transformação,-384226798.71171486,32810789.814700525,283245772.5110471
"Eletricidade e gás, água, esgoto, gestão de resíduos",-117694021.6948593,-10200911.787081381,53723541.59967284
Construção,0.0,0.0,0.0
Comércio,-96666.18693386958,-14563.063281010956,200102.66371624265
"Transporte, armazenagem e correio",-156376019.1984279,-10576261.523253698,182059425.2401387
Informação e comunicação,0.0,0.0,0.0
"Atividades financeiras, seguros e serviços relacionados",0.0,0.0,0.0
Atividades imobiliárias,0.0,0.0,0.0
Outras atividades de serviços,0.0,0.0,0.0
"Administração, defesa, saúde e educação públicas",-539318.1981682958,0.0,495367.35743468744
