,setor,producao_total_R$mi,emissao_direta_tCO2e,coef_emissao_direta,multiplicador_emissao_total,encadeamento_para_tras,encadeamento_para_frente,setor_chave
01,Agropecuária,478730,18316675.26516639,38.26097229161822,141.88630385609358,1.089983806139613,0.8260970499352832,False
02,Indústrias extrativas,260573,27432316.513062373,105.2768955842024,234.80692882146337,1.1369449394895275,0.7829896203440321,False
03,Indústrias de transformação,2776460,175597795.0002466,63.24520972758355,229.953768989118,1.4691105925195875,3.3377899953979226,True
04,"Eletricidade e gás, água, esgoto, gestão de resíduos",323598,65321104.13026428,201.85880051874327,371.11942653251333,1.1961819006317813,0.9041669220100536,False
05,Construção,632308,0.0,0.0,99.58948881023572,1.1697342354950848,0.586651996981498,False
06,Comércio,1100763,1873871.2607426504,1.7023385240443678,69.8662766775862,0.8631987164854061,0.5422726681775549,False
07,"Transporte, armazenagem e correio",505417,200797843.40258977,397.29143143699116,535.5674116696816,1.1440010085103385,0.8915383455616365,False
08,Informação e comunicação,350466,0.0,0.0,44.02034834163843,0.955816600287089,0.7370018168123369,False
09,"Atividades financeiras, seguros e serviços relacionados",574611,0.0,0.0,27.763707607187367,0.79295390247848,0.8845105240695504,False
10,Atividades imobiliárias,545929,0.0,0.0,6.9656624542413255,0.546794330614821,0.5617324673224103,False
11,Outras atividades de serviços,1470205,0.0,0.0,59.29483026135675,0.898434239742668,1.4798323132792015,False
12,"Administração, defesa, saúde e educação públicas",1207809,907644.6687653288,0.7514802992570256,33.68777972045564,0.7368457276056025,0.46541628010851877,False
